"studyID","pubyear","country","continent","continent2","marine","exprnc","species","family","order","class","class1","structure","structure2","process","agemin","agemax","agemaxcat","agerange","agerangecat","type","R","Rcat3","Rcat4","n","ncat","APE","APE0","logAPE","ACV","ACV0","logACV","ACVmod","ACVmod0","logACVmod","ACVused","ACVmodused","bothACVnAPEused","PA0","PA1","PAother","ASD","AAD","APE2","ACV2","AD","checkbias","biasmethod","biaspresent","checkrelage","typerelage"
"anderson_age_1992",1992,"Australia","Aus/NZ","Aus/NZ","no","no","Murray Cod","Percichthyidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,48,"40",47,"40-50","between",4,"3+","4+",266,"200-399",5.4,5.5,1.70474809223843,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"anderson_validation_1992",1992,"Australia","Aus/NZ","Aus/NZ","no","no","Golden Perch","Percichthyidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,16,"10",15,"10-20","between",4,"3+","4+",879,"400+",5.6,5.7,1.7404661748405,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"andrade_age_2004",2004,"Brazil","SCAmer","other","yes","no","Searobin","Triglidae","Scorpaeniformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",4,19,"10",15,"10-20","between",3,"3+","3",490,"400+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"yes","visual"
"andrews_age_1999",1999,"USA","USA/Can","USA/Can","yes","no","Pacific Grenadier","Macrouridae","Gadiformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,72,"70",71,"70-80","within",2,"2","2",178,"51-199",6,6.1,1.80828877117927,NA,NA,NA,8.48528137423857,8.58528137423857,2.15004926891294,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,6,"no",NA,NA,"no",NA
"andrews_age_1999",1999,"USA","USA/Can","USA/Can","yes","no","Pacific Grenadier","Macrouridae","Gadiformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,72,"70",71,"70-80","between",2,"2","2",178,"51-199",6.3,6.4,1.85629799036563,NA,NA,NA,8.9095454429505,9.0095454429505,2.19828462006462,"no","yes","no",NA,43,"yes",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"anislado-tolentino_age_2008",2008,"Mexico","SCAmer","other","yes","yes","Scalloped Hammerhead Shark","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"sectioned (then stained)",0,11,"10",11,"10-20","between",2,"2","2",108,"51-199",3.7,3.8,1.33500106673234,NA,NA,NA,5.23259018078045,5.33259018078045,1.67383708275913,"no","yes","no",79,97,"no",NA,NA,NA,NA,2.8,"yes","symmetry test","no","no",NA
"artero_age_2015",2015,"French Guiana","SCAmer","other","yes","yes","Atlantic Goliath Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","finrays","dorsal","sectioned",0,15,"10",15,"10-20","between",2,"2","2",62,"51-199",NA,NA,NA,11.7,11.8,2.46809953147162,11.7,11.8,2.46809953147162,"yes","yes","no",52,82,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","no","no",NA
"artero_age_2015",2015,"French Guiana","SCAmer","other","yes","yes","Atlantic Goliath Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","finrays","dorsal","sectioned",0,15,"10",15,"10-20","within",2,"2","2",229,"200-399",NA,NA,NA,9.9,10,2.30258509299405,9.9,10,2.30258509299405,"yes","yes","no",62,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"yes","None"
"artero_age_2015",2015,"French Guiana","SCAmer","other","yes","yes","Atlantic Goliath Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","finrays","dorsal","sectioned",0,15,"10",15,"10-20","within",2,"2","2",229,"200-399",NA,NA,NA,8.3,8.4,2.12823170584927,8.3,8.4,2.12823170584927,"yes","yes","no",69.5,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"yes","None"
"aschenbrenner_age_2015",2015,"Brazil","SCAmer","other","yes","no","Brazilian Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,22,"20",22,"20-30","within",3,"3+","3",341,"200-399",5.4,5.5,1.70474809223843,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"aschenbrenner_age_2015",2015,"Brazil","SCAmer","other","yes","no","Brazilian Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,22,"20",22,"20-30","between",2,"2","2",100,"51-199",9.7,9.8,2.28238238567653,NA,NA,NA,13.717871555019,13.817871555019,2.62596279454063,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"aschenbrenner_age_2017",2017,"Brazil","SCAmer","other","yes","no","Lane Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,18,"10",17,"10-20","within",5,"3+","4+",303,"200-399",4.8,4.9,1.58923520511658,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"ba_slow_2015",2015,"Senegal","Africa","other","yes","no","Milk Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"sectioned (then etched and stained)",1,9,"0",8,"0-10","within",2,"2","2",423,"400+",1.55,1.65,0.500775287912489,2.2,2.3,0.832909122935104,2.2,2.3,0.832909122935104,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"yes","other"
"baker_precision_1998",1998,"USA","USA/Can","USA/Can","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","scales",NA,"pressed",1,2,"0",1,"0-10","between",3,"3+","3",64,"51-199",NA,NA,NA,0,0.1,-2.30258509299405,0,0.1,-2.30258509299405,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"baker_precision_1998",1998,"USA","USA/Can","USA/Can","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","scales",NA,"pressed",0,8,"0",8,"0-10","between",3,"3+","3",265,"200-399",NA,NA,NA,27.4,27.5,3.31418600467253,27.4,27.5,3.31418600467253,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"baker_precision_1998",1998,"USA","USA/Can","USA/Can","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","scales",NA,"pressed",0,10,"10",10,"10-20","between",2,"2","2",208,"200-399",NA,NA,NA,13.9,14,2.63905732961526,13.9,14,2.63905732961526,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"baker_precision_1998",1998,"USA","USA/Can","USA/Can","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","other",NA,"whole",1,2,"0",1,"0-10","between",3,"3+","3",64,"51-199",NA,NA,NA,0,0.1,-2.30258509299405,0,0.1,-2.30258509299405,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"baker_precision_1998",1998,"USA","USA/Can","USA/Can","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","other",NA,"whole",0,8,"0",8,"0-10","between",3,"3+","3",265,"200-399",NA,NA,NA,14,14.1,2.64617479738412,14,14.1,2.64617479738412,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"baker_precision_1998",1998,"USA","USA/Can","USA/Can","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","other",NA,"whole",0,10,"10",10,"10-20","between",2,"2","2",208,"200-399",NA,NA,NA,10.6,10.7,2.37024374146786,10.6,10.7,2.37024374146786,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"balazik_age_2012",2012,"USA","USA/Can","USA/Can","yes","yes","Atlantic Sturgeon","Acipenseridae","Acipenseriformes","Actinopteri","Actinopteri","spines","pectoral","sectioned",1,21,"20",20,"20-30","between",2,"2","2",203,"200-399",NA,NA,NA,1.8,1.9,0.641853886172395,1.8,1.9,0.641853886172395,"yes","yes","no",70,93,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
"barada_bias_2011",2011,"USA","USA/Can","USA/Can","no","yes","Channel Catfish","Ictaluridae","Siluriformes","Actinopteri","Actinopteri","otoliths","sagittae","burnt (then ground)",0,16,"10",16,"10-20","between",2,"2","2",603,"400+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",78,97,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
"barada_bias_2011",2011,"USA","USA/Can","USA/Can","no","yes","Channel Catfish","Ictaluridae","Siluriformes","Actinopteri","Actinopteri","spines","pectoral","sectioned",0,16,"10",16,"10-20","between",2,"2","2",3397,"400+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",68,97,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
"barbieri_age_1994",1994,"USA","USA/Can","USA/Can","yes","no","Atlantic Croaker","Sciaenidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,8,"0",7,"0-10","within",2,"2","2",1967,"400+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",99.5,100,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"barbieri_age_1994",1994,"USA","USA/Can","USA/Can","yes","no","Atlantic Croaker","Sciaenidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,8,"0",7,"0-10","within",2,"2","2",1967,"400+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",99.3,100,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"barbieri_age_1994",1994,"USA","USA/Can","USA/Can","yes","no","Atlantic Croaker","Sciaenidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,8,"0",7,"0-10","within",2,"2","2",1967,"400+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",99.2,100,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"barreto_age_2011",2011,"Brazil","SCAmer","other","yes","no","Blacknose Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"sectioned",0,16,"10",16,"10-20","between",2,"2","2",277,"200-399",6.66,6.76,1.91102289005487,NA,NA,NA,9.41866232540481,9.51866232540481,2.25325432689322,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","agebiasplot","no","yes","Other"
"basusta_study_2017",2017,"Turkey","Europe","Eur/Asia","yes","no","Spiny Gurnard","Triglidae","Scorpaeniformes","Actinopteri","Actinopteri","otoliths","sagittae","unknown",3,11,"10",8,"0-10","between",2,"2","2",1707,"400+",7.8,7.9,2.06686275947298,NA,NA,NA,11.0308657865101,11.1308657865101,2.40972195080747,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","other",NA,"sectioned",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",21.43,88.1,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","other",NA,"whole",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",23.81,78.57,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","finrays","pelvic","sectioned",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",9.52,74.6,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","finrays","pectoral","sectioned",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",19.05,76.98,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","finrays","dorsal","sectioned",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",19.05,82.14,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","finrays","anal","sectioned",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",9.52,76.98,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",40.48,97.22,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"bauerlien_precision_2018",2018,"USA","USA/Can","USA/Can","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","scales",NA,"mounted",NA,NA,NA,NA,NA,"between",4,"3+","4+",42,"1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",11.9,83.73,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot",NA,"no",NA
"beckman_age_1988",1988,"USA","USA/Can","USA/Can","yes","no","Red Drum","Sciaenidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,37,"30",36,"30-40","between",2,"2","2",1632,"400+",NA,NA,NA,0.58,0.68,-0.385662480811985,0.58,0.68,-0.385662480811985,"yes","yes","no",95.9,99.8,"yes",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"beckman_age_1990",1990,"USA","USA/Can","USA/Can","yes","yes","Black Drum","Sciaenidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",2,43,"40",41,"40-50","between",3,"3+","3",1080,"400+",NA,NA,NA,0.51,0.61,-0.49429632181478,0.51,0.61,-0.49429632181478,"yes","yes","no",92,94,"yes",NA,NA,NA,NA,0.3,"no",NA,NA,"no",NA
"beckman_comparison_2002",2002,"USA","USA/Can","USA/Can","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,5,"0",5,"0-10","between",2,"2","2",112,"51-199",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",73,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"beckman_comparison_2002",2002,"USA","USA/Can","USA/Can","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","whole",0,5,"0",5,"0-10","between",2,"2","2",108,"51-199",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",65,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"beckman_comparison_2002",2002,"USA","USA/Can","USA/Can","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,5,"0",5,"0-10","between",3,"3+","3",112,"51-199",NA,NA,NA,16.1,16.2,2.78501124223834,16.1,16.2,2.78501124223834,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"beckman_comparison_2002",2002,"USA","USA/Can","USA/Can","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","whole",0,5,"0",5,"0-10","between",3,"3+","3",106,"51-199",NA,NA,NA,17.9,18,2.89037175789616,17.9,18,2.89037175789616,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"beckman_comparison_2002",2002,"USA","USA/Can","USA/Can","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","scales",NA,"mounted",0,3,"0",3,"0-10","between",2,"2","2",112,"51-199",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",38,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"beckman_comparison_2002",2002,"USA","USA/Can","USA/Can","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","scales",NA,"mounted",0,3,"0",3,"0-10","between",3,"3+","3",112,"51-199",NA,NA,NA,34.8,34.9,3.55248682920838,34.8,34.9,3.55248682920838,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"bellodi_life-history_2017",2017,"Italy","Europe","Eur/Asia","yes","yes","Long-nosed Skate","Rajidae","Rajiformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"ground",1,14,"10",13,"10-20","both",6,"3+","4+",130,"51-199",6.56,6.66,1.8961194845523,8.9,9,2.19722457733622,8.9,9,2.19722457733622,"yes","yes","yes",77.7,NA,"no",NA,NA,NA,NA,NA,"yes","unknown","no","no",NA
"bettinger_validation_2011",2011,"USA","USA/Can","USA/Can","no","yes","Notchlip Redhorse","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","otoliths","lapillae","sectioned",1,19,"10",18,"10-20","between",2,"2","2",121,"51-199",NA,NA,NA,4.28,4.38,1.47704872438835,4.28,4.38,1.47704872438835,"yes","yes","no",72,96.08,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"bettinger_validation_2011",2011,"USA","USA/Can","USA/Can","no","yes","Brassy Jumprock","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","otoliths","lapillae","sectioned",1,17,"10",16,"10-20","between",2,"2","2",75,"51-199",NA,NA,NA,5.05,5.15,1.63899671467564,5.05,5.15,1.63899671467564,"yes","yes","no",77,98.62,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"bishop_age_2006",2006,"New Zealand","Aus/NZ","Aus/NZ","yes","no","Shortfin Mako Shark","Lamnidae","Lamniformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"sectioned",1,23,"20",22,"20-30","between",2,"2","2",49,"1-50",6.59,6.69,1.90061387414014,9.32,9.42,2.24283508858827,9.32,9.42,2.24283508858827,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes","agebiasplot","no","no",NA
"bishop_age_2006",2006,"New Zealand","Aus/NZ","Aus/NZ","yes","no","Shortfin Mako Shark","Lamnidae","Lamniformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"sectioned",0,30,"30",30,"30-40","within",2,"2","2",256,"200-399",5.27,5.37,1.68082790852077,7.45,7.55,2.02154756326093,7.45,7.55,2.02154756326093,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes","agebiasplot","no","yes","quadratic"
"bishop_age_2006",2006,"New Zealand","Aus/NZ","Aus/NZ","yes","no","Shortfin Mako Shark","Lamnidae","Lamniformes","Elasmobranchii","Elasmobranchii","vertebrae",NA,"sectioned",0,30,"30",30,"30-40","between",2,"2","2",256,"200-399",6.52,6.62,1.89009536994892,9.23,9.33,2.23323501485925,9.23,9.33,2.23323501485925,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes","agebiasplot","no","yes","quadratic"
"blackwell_assessment_2016",2016,"USA","USA/Can","USA/Can","no","yes","Northern Pike","Esocidae","Esociformes","Actinopteri","Actinopteri","other",NA,"whole",0,10,"10",10,"10-20","between",2,"2","2",243,"200-399",NA,NA,NA,17.8,17.9,2.88480071284671,17.8,17.9,2.88480071284671,"yes","yes","no",38.7,68.7,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
"blackwell_assessment_2016",2016,"USA","USA/Can","USA/Can","no","yes","Northern Pike","Esocidae","Esociformes","Actinopteri","Actinopteri","other",NA,"sectioned",0,11,"10",11,"10-20","between",2,"2","2",243,"200-399",NA,NA,NA,6.9,7,1.94591014905531,6.9,7,1.94591014905531,"yes","yes","no",70.4,95.5,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
"blackwell_assessment_2016",2016,"USA","USA/Can","USA/Can","no","yes","Northern Pike","Esocidae","Esociformes","Actinopteri","Actinopteri","other","metapterygoid","whole",0,10,"10",10,"10-20","between",2,"2","2",243,"200-399",NA,NA,NA,7.8,7.9,2.06686275947298,7.8,7.9,2.06686275947298,"yes","yes","no",64.6,88.1,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
"blackwell_assessment_2016",2016,"USA","USA/Can","USA/Can","no","yes","Northern Pike","Esocidae","Esociformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,12,"10",12,"10-20","between",2,"2","2",243,"200-399",NA,NA,NA,4,4.1,1.41098697371026,4,4.1,1.41098697371026,"yes","yes","no",81.9,97.9,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","no","no",NA
"blackwell_assessment_2016",2016,"USA","USA/Can","USA/Can","no","yes","Northern Pike","Esocidae","Esociformes","Actinopteri","Actinopteri","scales",NA,"mounted",0,11,"10",11,"10-20","between",2,"2","2",243,"200-399",NA,NA,NA,11.7,11.8,2.46809953147162,11.7,11.8,2.46809953147162,"yes","yes","no",44.3,78.6,"yes",NA,NA,NA,NA,NA,"yes","agebiasplot","yes","no",NA
