"studyID","pubyear","pubyear5","country","continent","USA","marine","exprnc","species","family","order","class","class1","structure","structure2","process","process2","agemin","agemax","agemaxcat","agerange","agerangecat","type","R","Rcat3","Rcat4","n","ncat","nperage","APE","ACV","ACVmod","ACVused","ACVmodused","bothACVnAPEused","PA0","PA1","PAother","ASD","AAD","APE2","ACV2","AD","checkbias","bias_usedplot","bias_usedregression","bias_usedsymtest","bias_usedttest","bias_usedother","biasmethod","biaspresent","checkrelage","typerelage"
"basusta_age_2018",2018,"2016-20","Turkey","Europe","Other","yes","no","Bull Ray","Myliobatidae","Myliobatiformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"sectioned (then ground)","Ground/
Sectioned",0,14,"10-19",14,"10-20","Between",2,"2","2",94,"5-199",6.71428571428571,2.4,NA,3.39411254969543,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot",NA,"no",NA
"basusta_study_2017",2017,"2016-20","Turkey","Europe","Other","yes","no","Spiny Gurnard","Triglidae","Scorpaeniformes","Actinopteri","Actinopteri","Otoliths","Sagittae","unknown","Unknown",3,11,"10-19",8,"0-10","Between",2,"2","2",1707,"400+",213.375,7.8,NA,11.0308657865101,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Other",NA,"sectioned","Ground/
Sectioned",0,5,"1-9",5,"0-10","Between",4,"3+","4+",42,"1-49",8.4,NA,NA,NA,"no","no","no",21.43,88.1,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Other",NA,"whole","Whole",0,5,"1-9",5,"0-10","Between",4,"3+","4+",42,"1-49",8.4,NA,NA,NA,"no","no","no",23.81,78.57,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Finrays","Pelvic","sectioned","Ground/
Sectioned",0,5,"1-9",5,"0-10","Between",4,"3+","4+",42,"1-49",8.4,NA,NA,NA,"no","no","no",9.52,74.6,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Finrays","Pectoral","sectioned","Ground/
Sectioned",0,6,"1-9",6,"0-10","Between",4,"3+","4+",42,"1-49",7,NA,NA,NA,"no","no","no",19.05,76.98,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Finrays","Dorsal","sectioned","Ground/
Sectioned",0,4,"1-9",4,"0-10","Between",4,"3+","4+",42,"1-49",10.5,NA,NA,NA,"no","no","no",19.05,82.14,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Finrays","Anal","sectioned","Ground/
Sectioned",0,5,"1-9",5,"0-10","Between",4,"3+","4+",42,"1-49",8.4,NA,NA,NA,"no","no","no",9.52,76.98,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,6,"1-9",6,"0-10","Between",4,"3+","4+",42,"1-49",7,NA,NA,NA,"no","no","no",40.48,97.22,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","no","yes","linear decreasing"
"bauerlien_precision_2018",2018,"2016-20","USA","N. America","USA","no",NA,"Chain Pickerel","Esocidae","Esociformes","Actinopteri","Actinopteri","Scales",NA,"mounted","Other",0,4,"1-9",4,"0-10","Between",4,"3+","4+",42,"1-49",10.5,NA,NA,NA,"no","no","no",11.9,83.73,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","yes","linear decreasing"
"beckman_comparison_2002",2002,"2001-05","USA","N. America","USA","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,5,"1-9",5,"0-10","Between",2,"2","2",112,"5-199",22.4,NA,NA,NA,"no","no","no",73,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"beckman_comparison_2002",2002,"2001-05","USA","N. America","USA","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","whole","Whole",0,5,"1-9",5,"0-10","Between",2,"2","2",108,"5-199",21.6,NA,NA,NA,"no","no","no",65,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"beckman_comparison_2002",2002,"2001-05","USA","N. America","USA","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,5,"1-9",5,"0-10","Between",3,"3+","3",112,"5-199",22.4,NA,16.1,16.1,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"beckman_comparison_2002",2002,"2001-05","USA","N. America","USA","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","whole","Whole",0,5,"1-9",5,"0-10","Between",3,"3+","3",106,"5-199",21.2,NA,17.9,17.9,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"beckman_comparison_2002",2002,"2001-05","USA","N. America","USA","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","Scales",NA,"mounted","Other",0,3,"1-9",3,"0-10","Between",2,"2","2",112,"5-199",37.3333333333333,NA,NA,NA,"no","no","no",38,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"beckman_comparison_2002",2002,"2001-05","USA","N. America","USA","no","yes","Rainbow Darter","Percidae","Perciformes","Actinopteri","Actinopteri","Scales",NA,"mounted","Other",0,3,"1-9",3,"0-10","Between",3,"3+","3",112,"5-199",37.3333333333333,NA,34.8,34.8,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"bellodi_life-history_2017",2017,"2016-20","Italy","Europe","Other","yes","yes","Long-nosed Skate","Rajidae","Rajiformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"ground","Ground/
Sectioned",1,14,"10-19",13,"10-20","Both",6,"3+","4+",130,"5-199",10,6.56,8.9,8.9,"yes","yes","yes",77.7,NA,"no",NA,NA,NA,NA,NA,"yes","no","no","no","no","yes","unknown","no","no",NA
"ben-aderet_revisiting_2020",2020,"2016-20","USA","N. America","USA","yes","no","Yellowtail Jack","Carangidae","Carangiformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",1,22,"20-29",21,"20-30","Between",3,"3+","3",235,"200-399",11.1904761904762,8.75,11.69,11.69,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
