id,tl,wt,cleithra_section_R1,cleithra_section_R2,cleithra_whole_R1,cleithra_whole_R2,otoliths_R1,otoliths_R2,metapt_R1,metapt_R2,scales_R1,scales_R2
48,641,1474,10,5,10,10,12,11,7,6,10,8
49,473,617,1,1,2,2,1,1,2,1,4,4
50,556,982,5,2,6,6,1,1,3,3,4,3
51,524,813,3,2,5,5,3,3,2,2,2,3
52,618,1580,4,3,3,3,3,3,4,4,3,3
53,512,819,5,3,7,3,2,2,3,3,4,4
54,561,897,4,4,5,3,3,2,4,2,5,4
55,529,738,7,6,10,9,11,10,2,3,5,5
56,493,708,2,2,2,2,2,2,1,1,2,2
57,893,4508,6,6,9,9,4,4,9,13,12,11
58,396,318,0,0,1,1,1,1,1,1,1,1
59,370,260,1,1,2,1,1,1,1,1,1,1
60,442,507,3,2,3,2,3,3,2,2,4,5
61,412,385,2,2,2,2,3,3,1,1,5,4
62,405,356,2,2,2,2,2,2,2,2,3,5
63,403,283,1,1,5,1,1,1,1,1,1,1
64,350,221,2,2,2,1,1,1,1,1,2,2
65,453,489,3,3,3,3,4,3,3,3,3,2
66,365,276,3,3,3,3,2,2,1,1,1,2
67,371,274,2,2,2,2,1,1,1,1,2,1
68,368,276,1,0,2,1,1,1,1,1,1,1
69,573,974,10,6,11,10,9,10,7,6,11,8
70,566,911,2,2,5,3,3,3,2,3,5,4
71,556,851,4,3,4,4,5,3,3,3,5,5
72,529,808,3,3,4,3,3,3,2,3,4,3
73,503,658,2,2,3,2,2,2,2,2,2,3
74,399,397,2,2,1,1,1,2,1,1,1,1
75,380,310,3,3,1,1,1,1,1,1,2,1
76,452,563,3,2,1,1,1,1,2,1,2,4
77,431,450,5,4,4,1,1,1,1,1,2,3
78,377,267,2,3,2,2,1,1,2,2,2,2
79,370,296,1,1,2,1,1,1,1,1,1,1
80,406,384,2,2,3,1,1,1,2,2,3,3
81,378,312,3,1,1,1,1,1,1,1,2,2
82,481,633,1,1,1,1,1,1,1,1,1,4
83,507,705,1,1,3,1,1,1,2,2,2,5
84,424,441,2,2,3,1,1,1,1,1,3,3
85,379,303,1,1,3,1,1,2,1,1,2,2
86,443,483,2,2,2,2,1,2,2,2,3,3
87,419,389,2,2,2,1,1,1,1,1,2,4
88,396,371,2,1,1,2,1,2,1,1,1,1
89,405,397,1,1,1,2,1,1,1,1,2,2
90,581,1127,1,1,5,2,1,2,2,2,3,3
91,726,2519,4,3,5,4,4,4,7,4,5,6
92,676,1789,2,2,4,2,2,2,3,2,6,5
93,664,1413,4,4,5,3,3,2,3,3,3,3
94,623,1529,2,2,3,2,2,2,3,2,4,3
95,620,1544,3,3,3,2,2,2,2,2,4,4
96,740,2492,9,8,11,8,7,7,9,8,11,11
97,692,2053,3,2,3,2,2,2,3,3,3,3
98,411,457,1,1,1,1,1,1,1,1,1,1
99,437,469,1,1,1,1,1,1,1,1,1,2
100,312,201,0,0,0,0,0,0,0,0,0,0
101,424,464,1,1,1,1,1,1,2,1,1,1
102,321,207,1,1,1,0,0,0,0,0,1,1
103,288,135,0,1,0,0,5,4,0,0,0,0
104,393,383,1,0,1,1,0,0,0,1,1,1
105,553,1021,5,5,5,5,1,1,5,5,7,5
106,427,534,1,1,2,1,1,2,1,1,1,3
107,396,402,1,1,1,1,1,1,1,1,2,2
108,363,201,1,1,1,1,1,2,1,1,1,1
109,472,583,1,1,1,1,1,1,2,2,1,1
110,374,370,1,1,2,1,1,1,1,1,2,3
111,406,385,1,1,2,1,1,1,1,1,1,1
112,462,622,2,2,1,1,1,1,2,2,1,1
113,455,583,1,1,1,1,1,1,2,1,2,3
114,610,1260,10,10,9,8,12,12,3,8,10,8
115,698,2209,4,3,4,3,2,3,4,4,7,6
116,561,1088,3,4,4,3,2,3,2,2,5,6
117,516,880,3,3,3,2,2,2,2,2,3,4
118,610,1231,4,4,4,4,2,3,3,3,6,5
119,607,1363,2,2,3,1,1,1,1,1,1,1
120,633,1398,9,9,11,4,9,11,9,9,10,7
121,597,1341,4,3,4,4,3,3,3,2,4,4
122,660,1703,4,4,5,5,4,4,5,10,5,5
123,600,1264,6,4,7,3,4,3,3,3,6,5
124,675,1872,3,3,3,2,2,2,4,5,4,2
125,516,844,4,4,3,3,3,3,3,3,3,4
126,476,658,2,2,2,2,2,3,2,2,2,2
127,687,2236,4,4,5,5,3,3,5,6,5,3
128,718,2265,5,4,5,4,3,3,6,5,8,6
129,572,1222,2,2,2,2,2,2,4,4,2,2
130,557,1062,3,3,5,3,2,2,2,2,5,3
131,532,980,1,1,2,2,1,1,2,2,3,2
132,546,640,2,2,4,3,2,2,2,2,3,4
133,484,723,2,2,2,1,1,1,2,2,3,3
134,524,906,3,2,2,2,2,3,2,2,5,3
135,510,962,2,2,2,1,1,1,1,1,1,3
136,449,599,1,1,3,1,1,1,2,2,2,3
137,507,815,2,2,1,1,1,1,2,1,3,4
138,535,967,2,2,2,1,1,1,2,2,2,3
139,634,1431,3,3,4,2,2,2,3,2,6,5
140,462,532,3,3,3,3,2,1,2,1,3,3
141,490,851,2,2,3,2,1,2,2,1,1,2
142,548,1041,3,3,3,3,2,2,2,2,3,3
143,497,764,2,1,1,1,2,2,2,2,1,1
144,707,2022,4,4,4,3,3,3,5,3,6,5
145,797,3382,9,7,8,8,6,6,9,9,10,9
146,776,2928,5,4,9,8,7,6,7,5,9,6
147,552,933,2,2,3,3,2,2,3,3,3,2
148,525,944,2,2,1,1,1,1,2,2,2,2
149,539,920,1,1,2,2,1,1,2,2,1,1
150,589,1249,3,2,4,2,3,3,2,1,4,3
151,643,1621,3,2,4,3,2,2,4,3,4,3
152,642,1451,2,2,5,5,3,3,5,5,4,3
153,704,2090,3,3,7,4,2,2,4,3,5,5
154,616,1181,1,1,1,1,2,2,2,2,2,2
155,603,1309,4,2,3,2,2,3,3,3,3,5
156,704,2179,3,3,6,2,2,2,4,2,4,3
157,720,2076,4,3,5,5,4,4,5,5,7,4
158,385,292,4,3,3,3,2,2,1,2,4,4
159,384,308,2,2,4,2,1,1,1,1,2,2
160,363,257,1,1,2,1,1,1,0,0,1,1
161,363,257,1,1,3,3,1,1,1,1,1,1
162,436,392,1,1,5,3,3,3,1,2,5,5
163,383,326,2,2,2,2,2,2,2,2,3,2
164,361,235,2,1,2,1,2,2,1,2,1,1
165,291,142,0,0,1,1,0,0,0,0,0,1
166,376,265,3,3,2,2,2,2,2,2,4,4
167,387,298,1,1,1,1,1,1,1,1,2,2
168,364,256,1,2,1,1,1,1,1,1,3,3
169,330,190,2,2,2,2,1,1,1,1,1,3
170,328,171,1,1,1,1,1,1,1,1,3,3
171,383,320,1,1,4,1,1,1,1,1,1,1
172,414,389,2,2,2,2,1,1,2,1,4,5
173,400,335,1,1,3,1,1,1,1,1,2,2
174,365,267,2,1,2,1,1,1,1,1,1,1
175,299,165,0,0,4,1,1,1,1,1,2,2
176,348,229,1,2,3,2,1,1,1,2,2,3
177,360,252,1,1,1,1,1,1,1,1,1,1
178,341,220,2,2,2,2,1,1,1,1,2,4
179,336,223,1,1,1,1,1,1,1,1,2,3
180,293,151,1,2,1,1,1,1,1,1,1,1
181,293,126,0,0,1,0,1,1,0,0,1,2
182,368,274,2,1,1,1,1,1,1,1,1,3
183,387,299,2,2,2,1,1,1,2,1,1,3
184,352,235,2,2,1,1,1,1,1,1,1,1
185,485,678,2,2,2,1,2,2,5,2,5,5
186,334,224,2,2,2,1,1,1,1,1,2,2
187,404,392,1,1,1,1,1,1,1,1,1,2
188,335,195,2,2,1,1,1,1,1,1,2,3
189,796,3155,5,4,6,4,4,4,5,5,6,6
190,778,2907,12,13,10,11,12,12,12,11,10,10
191,818,3711,6,6,9,7,10,10,7,7,7,7
192,812,3370,7,7,10,8,6,5,9,8,9,7
193,782,2968,4,4,9,4,3,3,4,5,3,3
194,723,2232,4,4,4,3,3,3,4,3,5,5
195,805,3363,5,5,5,5,4,4,5,5,6,5
196,705,2139,3,3,4,2,2,2,3,2,4,4
197,790,NA,3,3,6,2,2,2,7,4,9,9
198,785,NA,3,3,5,3,2,2,7,7,5,8
199,760,NA,3,3,5,6,2,3,5,6,6,12
200,814,NA,2,2,6,2,2,2,8,6,6,4
201,653,1622,3,3,2,2,2,2,4,4,2,5
202,795,3404,5,4,8,5,3,3,8,6,8,7
203,707,1971,3,3,3,3,2,2,2,2,4,5
204,738,2499,4,4,4,3,3,3,6,6,5,3
205,775,2831,3,3,5,6,3,3,6,3,3,3
206,889,NA,4,4,10,7,4,4,9,9,6,6
207,826,NA,3,3,6,2,2,3,7,4,6,7
208,864,NA,4,4,7,5,4,3,4,4,4,5
209,813,NA,4,4,7,4,3,3,6,5,8,5
210,838,NA,4,4,5,4,3,3,6,8,4,5
211,874,4606,4,4,5,4,3,3,7,7,6,6
212,857,4616,3,3,5,5,2,1,4,3,6,5
213,832,3676,4,4,5,5,3,3,5,5,4,3
214,852,NA,8,8,12,9,7,7,10,9,11,11
215,819,NA,6,6,5,6,3,5,6,7,6,4
216,905,4284,8,7,10,7,8,8,10,8,8,7
217,727,2141,3,3,8,4,2,2,7,5,4,4
218,740,2124,5,4,6,5,2,2,6,4,6,5
219,769,2808,3,3,7,3,2,2,4,5,3,4
220,844,3862,3,3,8,3,2,2,9,3,6,8
221,800,2818,3,3,9,3,2,2,7,4,6,6
222,748,2565,3,4,5,5,2,2,6,5,5,4
223,732,2650,4,3,5,4,2,2,4,4,6,6
224,764,2565,3,3,6,4,2,2,5,5,6,3
225,842,3781,3,3,10,3,2,2,10,5,6,7
226,846,3733,4,5,5,5,3,3,7,4,5,4
227,832,4011,10,9,7,9,9,10,7,5,5,4
228,812,3477,7,6,11,8,3,3,10,10,9,9
229,801,3484,6,5,8,8,3,3,7,7,7,5
230,807,3914,4,4,7,7,3,3,7,7,6,6
231,803,4154,4,4,8,4,3,3,5,5,7,6
232,345,202,2,2,2,2,1,1,1,1,1,2
233,358,224,1,2,2,2,2,2,1,1,2,3
234,337,166,2,1,2,2,2,1,1,1,2,2
235,310,139,1,0,4,1,1,1,1,1,1,2
236,370,248,3,3,3,1,1,1,1,1,3,3
237,381,287,3,3,2,2,2,2,2,1,3,5
238,393,300,4,3,2,1,1,1,1,1,2,4
239,305,140,2,2,2,2,2,2,1,1,2,2
240,292,116,1,1,2,1,1,1,1,1,NA,NA
241,920,NA,9,7,3,9,8,8,9,9,10,6
242,139,16,0,0,0,0,0,0,NA,NA,0,0
243,265,103,1,1,1,1,0,1,0,1,1,0
244,973,5799,7,7,9,6,6,6,8,7,6,6
245,978,6243,6,5,6,5,5,5,7,7,4,4
